class,vtable_addr,slot,func_addr,func_name,fingerprint
ASFunctionHandler,0x0,0,0x140B239B0,,
ASFunctionHandler,0x0,1,0x140B170F0,,
ASFunctionHandler,0x0,2,0x140B17030,,
AStarSearch,0x0,0,0x140850730,,
AStarSearch,0x0,1,0x1422BCB92,,
AStarSearch,0x0,2,0x1422BCB92,,
AbsorbEffect,0x0,0,0x140B72FE0,,
AbsorbEffect,0x0,1,0x140B74000,,
AbsorbEffect,0x0,2,0x140B9FF80,,
AbsorbEffect,0x0,3,0x140B73040,,
AbsorbEffect,0x0,4,0x140B742B0,,
AbsorbEffect,0x0,5,0x140BA02F0,,
AbsorbEffect,0x0,6,0x140B74680,,
AbsorbEffect,0x0,7,0x140B749D0,,
AbsorbEffect,0x0,8,0x140B9FEC0,,
AbsorbEffect,0x0,9,0x140B9FF20,,
AbsorbEffect,0x0,10,0x140B73050,,
AbsorbEffect,0x0,11,0x140B74DA0,,
AbsorbEffect,0x0,12,0x140B750A0,,
AbsorbEffect,0x0,13,0x140B75480,,
AbsorbEffect,0x0,14,0x140B75500,,
AbsorbEffect,0x0,15,0x140B75830,,
AbsorbEffect,0x0,16,0x140B73020,,
AbsorbEffect,0x0,17,0x140B73060,,
AbsorbEffect,0x0,18,0x140B73030,,
AbsorbEffect,0x0,19,0x140B75B80,,
AbsorbEffect,0x0,20,0x140BA0050,,
AbsorbEffect,0x0,21,0x140B9FD10,,
AbsorbEffect,0x0,22,0x140BA01F0,,
AbsorbEffect,0x0,23,0x140BA04E0,,
AbsorbEffect,0x0,24,0x140B75D00,,
AbsorbEffect,0x0,25,0x140BA0AD0,,
AbsorbEffect,0x0,26,0x140BA0B70,,
AbsorbEffect,0x0,27,0x140BA0080,,
AbsorbEffect,0x0,28,0x140B72D30,,
AbsorbEffect,0x0,29,0x140BA0230,,
AbsorbEffect,0x0,30,0x140B72E50,,
AbsorbEffect,0x0,31,0x140BA0340,,
AbsorbEffect,0x0,32,0x140B72F80,,
AbsorbEffect,0x0,33,0x140BA0610,,
AbstractHeap,0x0,0,0x141666EC0,,
AbstractHeap,0x0,1,0x1422BCB92,,
AbstractHeap,0x0,2,0x141665DA0,,
AbstractHeap,0x0,3,0x141665B00,,
AbstractHeap,0x0,4,0x141666E90,,
AbstractHeap,0x0,5,0x141665AE0,,
AbstractHeap,0x0,6,0x141666EB0,,
AbstractHeap,0x0,7,0x141665C10,,
AbstractHeap,0x0,8,0x1422BCB92,,
AbstractHeap,0x0,9,0x1422BCB92,,
AbstractHeap,0x0,10,0x141662310,,
AbstractHeap,0x0,11,0x1422BCB92,,
AbstractHeap,0x0,12,0x141665C20,,
AbstractHeap,0x0,13,0x141665DE0,,
AbstractHeap,0x0,14,0x141665DF0,,
AbstractHeap,0x0,15,0x1422BCB92,,
AbstractHeap,0x0,16,0x1422BCB92,,
AbstractHeap,0x0,17,0x141666880,,
AbstractHeap,0x0,18,0x141666890,,
AbstractHeap,0x0,19,0x1416668A0,,
AbstractHeap,0x0,20,0x1416668B0,,
AccumulatingValueModifierEffect,0x0,0,0x140B73920,,
AccumulatingValueModifierEffect,0x0,1,0x140B74000,,
AccumulatingValueModifierEffect,0x0,2,0x140B9FF80,,
AccumulatingValueModifierEffect,0x0,3,0x140B73040,,
AccumulatingValueModifierEffect,0x0,4,0x140B742B0,,
AccumulatingValueModifierEffect,0x0,5,0x140BA02F0,,
AccumulatingValueModifierEffect,0x0,6,0x140B74680,,
AccumulatingValueModifierEffect,0x0,7,0x140B749D0,,
AccumulatingValueModifierEffect,0x0,8,0x140B9FEC0,,
AccumulatingValueModifierEffect,0x0,9,0x140B9FF20,,
AccumulatingValueModifierEffect,0x0,10,0x140B73050,,
AccumulatingValueModifierEffect,0x0,11,0x140B73270,,
AccumulatingValueModifierEffect,0x0,12,0x140B73340,,
