class,vtable_addr,slot,func_addr,func_name,fingerprint
ASFunctionHandler,0x0,0,0x140AB1640,,
ASFunctionHandler,0x0,1,0x140AA4D80,,
ASFunctionHandler,0x0,2,0x140AA4CC0,,
AStarSearch,0x0,0,0x1407FBA60,,
AStarSearch,0x0,1,0x142166BA2,,
AStarSearch,0x0,2,0x142166BA2,,
AbsorbEffect,0x0,0,0x140AFF430,,
AbsorbEffect,0x0,1,0x140B00450,,
AbsorbEffect,0x0,2,0x140B2C3D0,,
AbsorbEffect,0x0,3,0x140AFF490,,
AbsorbEffect,0x0,4,0x140B00700,,
AbsorbEffect,0x0,5,0x140B2C740,,
AbsorbEffect,0x0,6,0x140B00AD0,,
AbsorbEffect,0x0,7,0x140B00E20,,
AbsorbEffect,0x0,8,0x140B2C310,,
AbsorbEffect,0x0,9,0x140B2C370,,
AbsorbEffect,0x0,10,0x140AFF4A0,,
AbsorbEffect,0x0,11,0x140B011F0,,
AbsorbEffect,0x0,12,0x140B014F0,,
AbsorbEffect,0x0,13,0x140B018D0,,
AbsorbEffect,0x0,14,0x140B01950,,
AbsorbEffect,0x0,15,0x140B01C80,,
AbsorbEffect,0x0,16,0x140AFF470,,
AbsorbEffect,0x0,17,0x140AFF4B0,,
AbsorbEffect,0x0,18,0x140AFF480,,
AbsorbEffect,0x0,19,0x140B01FD0,,
AbsorbEffect,0x0,20,0x140B2C4A0,,
AbsorbEffect,0x0,21,0x140B2C160,,
AbsorbEffect,0x0,22,0x140B2C640,,
AbsorbEffect,0x0,23,0x140B2C930,,
AbsorbEffect,0x0,24,0x140B02150,,
AbsorbEffect,0x0,25,0x140B2CF20,,
AbsorbEffect,0x0,26,0x140B2CFC0,,
AbsorbEffect,0x0,27,0x140B2C4D0,,
AbsorbEffect,0x0,28,0x140AFF180,,
AbsorbEffect,0x0,29,0x140B2C680,,
AbsorbEffect,0x0,30,0x140AFF2A0,,
AbsorbEffect,0x0,31,0x140B2C790,,
AbsorbEffect,0x0,32,0x140AFF3D0,,
AbsorbEffect,0x0,33,0x140B2CA60,,
AbstractHeap,0x0,0,0x14154CD60,,
AbstractHeap,0x0,1,0x142166BA2,,
AbstractHeap,0x0,2,0x14154BC40,,
AbstractHeap,0x0,3,0x14154B9A0,,
AbstractHeap,0x0,4,0x14154CD30,,
AbstractHeap,0x0,5,0x14154B980,,
AbstractHeap,0x0,6,0x14154CD50,,
AbstractHeap,0x0,7,0x14154BAB0,,
AbstractHeap,0x0,8,0x142166BA2,,
AbstractHeap,0x0,9,0x142166BA2,,
AbstractHeap,0x0,10,0x1415481C0,,
AbstractHeap,0x0,11,0x142166BA2,,
AbstractHeap,0x0,12,0x14154BAC0,,
AbstractHeap,0x0,13,0x14154BC80,,
AbstractHeap,0x0,14,0x14154BC90,,
AbstractHeap,0x0,15,0x142166BA2,,
AbstractHeap,0x0,16,0x142166BA2,,
AbstractHeap,0x0,17,0x14154C720,,
AbstractHeap,0x0,18,0x14154C730,,
AbstractHeap,0x0,19,0x14154C740,,
AbstractHeap,0x0,20,0x14154C750,,
AccumulatingValueModifierEffect,0x0,0,0x140AFFD70,,
AccumulatingValueModifierEffect,0x0,1,0x140B00450,,
AccumulatingValueModifierEffect,0x0,2,0x140B2C3D0,,
AccumulatingValueModifierEffect,0x0,3,0x140AFF490,,
AccumulatingValueModifierEffect,0x0,4,0x140B00700,,
AccumulatingValueModifierEffect,0x0,5,0x140B2C740,,
AccumulatingValueModifierEffect,0x0,6,0x140B00AD0,,
AccumulatingValueModifierEffect,0x0,7,0x140B00E20,,
AccumulatingValueModifierEffect,0x0,8,0x140B2C310,,
AccumulatingValueModifierEffect,0x0,9,0x140B2C370,,
