class,vtable_addr,slot,func_addr,func_name,fingerprint
ASFunctionHandler,0x0,0,0x140BE5320,,
ASFunctionHandler,0x0,1,0x140BD5DE0,,
ASFunctionHandler,0x0,2,0x140BD5D20,,
AStarSearch,0x0,0,0x140864B30,,
AStarSearch,0x0,1,0x142936AC6,,
AStarSearch,0x0,2,0x142936AC6,,
AbsorbEffect,0x0,0,0x140C4CF00,,
AbsorbEffect,0x0,1,0x140C4E860,,
AbsorbEffect,0x0,2,0x140C8AB70,,
AbsorbEffect,0x0,3,0x140C4CF80,,
AbsorbEffect,0x0,4,0x140C4EB60,ActiveEffect::LoadActiveEffect(BGSLoadFormBuffer*),
AbsorbEffect,0x0,5,0x140C8AEE0,,
AbsorbEffect,0x0,6,0x140C4EE40,,
AbsorbEffect,0x0,7,0x140C4F010,,
AbsorbEffect,0x0,8,0x140C8AAB0,_lambda_123fb89b7456a6e391ad8413cb7e9947_::_helper_func_cdecl_,
AbsorbEffect,0x0,9,0x140C8AB10,,
AbsorbEffect,0x0,10,0x140C4CFA0,,
AbsorbEffect,0x0,11,0x140C4F3D0,,
AbsorbEffect,0x0,12,0x140C4F660,,
AbsorbEffect,0x0,13,0x140C4FA00,ActiveEffect::DoStandardCustomSkillUsage(float),
AbsorbEffect,0x0,14,0x140C4FA80,,
AbsorbEffect,0x0,15,0x140C4FD20,,
AbsorbEffect,0x0,16,0x140C4CF60,,
AbsorbEffect,0x0,17,0x140C4CFB0,"FinishActiveEffectVisitor::operator()(BSTSmartPointer<ActiveEffect,BSTSmartPointerIntrusiveRefCount>&)",
AbsorbEffect,0x0,18,0x140C4CF70,,
AbsorbEffect,0x0,19,0x140C4FFD0,,
AbsorbEffect,0x0,20,0x140C8AC40,_lambda_ca9c4543e393283ae837064a07161474_::operator(),
AbsorbEffect,0x0,21,0x140C8A900,,
AbsorbEffect,0x0,22,0x140C8ADE0,,
AbsorbEffect,0x0,23,0x140C8B0D0,,
AbsorbEffect,0x0,24,0x140C50150,,
AbsorbEffect,0x0,25,0x140C8B5E0,,
AbsorbEffect,0x0,26,0x140C8B680,,
AbsorbEffect,0x0,27,0x140C8AC70,,
AbsorbEffect,0x0,28,0x140C4C980,,
AbsorbEffect,0x0,29,0x140C8AE20,,
AbsorbEffect,0x0,30,0x140C4CA20,,
AbsorbEffect,0x0,31,0x140C8AF30,,
AbsorbEffect,0x0,32,0x140C4CAD0,_lambda_64ec4c278a3df3f84bc14527312ceb67_::operator(),
AbsorbEffect,0x0,33,0x140C8B180,,
AbstractHeap,0x0,0,0x141B1F430,,
AbstractHeap,0x0,1,0x142936AC6,,
AbstractHeap,0x0,2,0x141B1E3B0,,
AbstractHeap,0x0,3,0x141B1E100,,
AbstractHeap,0x0,4,0x141B1F400,,
AbstractHeap,0x0,5,0x141B1E0E0,,
AbstractHeap,0x0,6,0x141B1F420,,
AbstractHeap,0x0,7,0x141B1E220,,
AbstractHeap,0x0,8,0x142936AC6,,
AbstractHeap,0x0,9,0x142936AC6,,
AbstractHeap,0x0,10,0x141B1A9C0,,
AbstractHeap,0x0,11,0x142936AC6,,
AbstractHeap,0x0,12,0x141B1E230,,
AbstractHeap,0x0,13,0x141B1E3F0,,
AbstractHeap,0x0,14,0x141B1E400,,
AbstractHeap,0x0,15,0x142936AC6,,
AbstractHeap,0x0,16,0x142936AC6,,
AbstractHeap,0x0,17,0x141B1EEB0,,
AbstractHeap,0x0,18,0x141B1EEC0,,
AbstractHeap,0x0,19,0x141B1EED0,,
AbstractHeap,0x0,20,0x141B1EEE0,,
AccumulatingValueModifierEffect,0x0,0,0x140C4E040,,
AccumulatingValueModifierEffect,0x0,1,0x140C4E860,,
