class,vtable_addr,slot,func_addr,func_name,fingerprint
ASFunctionHandler,0x0,0,0x140BF5800,FUN_140bf5800,
ASFunctionHandler,0x0,1,0x140BECE70,,
ASFunctionHandler,0x0,2,0x140BECDB0,VATSMenuPrivate::ASFunctionHandler::MapCodeObjectFunctions(void),
AStarSearch,0x0,0,0x140857830,FUN_140857830,
AStarSearch,0x0,1,0x142991466,,
AStarSearch,0x0,2,0x142991466,,
AbsorbEffect,0x0,0,0x140C93D30,FUN_140c93d30,
AbsorbEffect,0x0,1,0x140C95690,"ActiveEffect::AdjustForPerks(Actor_*,MagicTarget_*)",
AbsorbEffect,0x0,2,0x140CD1E80,ValueModifierEffect::OnAdd(MagicTarget_*),
AbsorbEffect,0x0,3,0x140C93DB0,,
AbsorbEffect,0x0,4,0x140C95990,,
AbsorbEffect,0x0,5,0x140CD21F0,ValueModifierEffect::Update(float),
AbsorbEffect,0x0,6,0x140C95C70,"ActiveEffect::EvaluateConditions(float,bool)",
AbsorbEffect,0x0,7,0x140C95E40,"ActiveEffect::EvaluateActiveStatus(float,bool)",
AbsorbEffect,0x0,8,0x140CD1DC0,ValueModifierEffect::IsCausingHealthDamage(void),
AbsorbEffect,0x0,9,0x140CD1E20,ValueModifierEffect::IsCausingRadDamage(void),
AbsorbEffect,0x0,10,0x140C93DD0,,
AbsorbEffect,0x0,11,0x140C96200,ActiveEffect::SaveGame(BGSSaveFormBuffer_*),
AbsorbEffect,0x0,12,0x140C96490,ActiveEffect::LoadGame(BGSLoadFormBuffer_*),
AbsorbEffect,0x0,13,0x140C96830,ActiveEffect::FinishLoadGame(BGSLoadFormBuffer_*),
AbsorbEffect,0x0,14,0x140C968B0,FUN_140c968b0,
AbsorbEffect,0x0,15,0x140C96B50,ActiveEffect::Compare(ActiveEffect_*),
AbsorbEffect,0x0,16,0x140C93D90,,
AbsorbEffect,0x0,17,0x140C93DE0,,
AbsorbEffect,0x0,18,0x140C93DA0,,
AbsorbEffect,0x0,19,0x140C96E00,ActiveEffect::ShouldDispelOnDeath(void),
AbsorbEffect,0x0,20,0x140CD1F50,,
AbsorbEffect,0x0,21,0x140CD1C10,ValueModifierEffect::ClearTargetImpl(void),
AbsorbEffect,0x0,22,0x140CD20F0,FUN_140cd20f0,
AbsorbEffect,0x0,23,0x140CD23E0,ValueModifierEffect::Finish(void),
AbsorbEffect,0x0,24,0x140C96F80,ActiveEffect::CanFinish(void),
AbsorbEffect,0x0,25,0x140CD28F0,ValueModifierEffect::CheckCustomSkillUseConditions(void),
AbsorbEffect,0x0,26,0x140CD2990,ValueModifierEffect::GetCustomSkillUseMagnitudeMultiplier(float),
AbsorbEffect,0x0,27,0x140CD1F80,ValueModifierEffect::ShouldModifyOnStart(void),
AbsorbEffect,0x0,28,0x140C937B0,AbsorbEffect::ModifyOnStart(void),
AbsorbEffect,0x0,29,0x140CD2130,ValueModifierEffect::ShouldModifyOnUpdate(void),
AbsorbEffect,0x0,30,0x140C93850,AbsorbEffect::ModifyOnUpdate(float),
AbsorbEffect,0x0,31,0x140CD2240,FUN_140cd2240,
AbsorbEffect,0x0,32,0x140C93900,"AbsorbEffect::ModifyOnFinish(Actor_*,Actor_*,float)",
AbsorbEffect,0x0,33,0x140CD2490,"ValueModifierEffect::ModifyActorValue(Actor_*,float,ActorValueInfo_*)",
AbstractHeap,0x0,0,0x141BA1D90,FUN_141ba1d90,
AbstractHeap,0x0,1,0x142991466,,
AbstractHeap,0x0,2,0x141BA0D10,,
AbstractHeap,0x0,3,0x141BA0A60,,
AbstractHeap,0x0,4,0x141BA1D60,,
AbstractHeap,0x0,5,0x141BA0A40,,
AbstractHeap,0x0,6,0x141BA1D80,,
AbstractHeap,0x0,7,0x141BA0B80,,
AbstractHeap,0x0,8,0x142991466,,
AbstractHeap,0x0,9,0x142991466,,
AbstractHeap,0x0,10,0x141B9D320,,
AbstractHeap,0x0,11,0x142991466,,
AbstractHeap,0x0,12,0x141BA0B90,"AbstractHeap::GetHeapStats(HeapStats_*,bool)",
AbstractHeap,0x0,13,0x141BA0D50,,
AbstractHeap,0x0,14,0x141BA0D60,,
AbstractHeap,0x0,15,0x142991466,,
AbstractHeap,0x0,16,0x142991466,,
AbstractHeap,0x0,17,0x141BA1810,,
AbstractHeap,0x0,18,0x141BA1820,,
AbstractHeap,0x0,19,0x141BA1830,,
AbstractHeap,0x0,20,0x141BA1840,,
AccumulatingValueModifierEffect,0x0,0,0x140C94E70,FUN_140c94e70,
AccumulatingValueModifierEffect,0x0,1,0x140C95690,"ActiveEffect::AdjustForPerks(Actor_*,MagicTarget_*)",
AccumulatingValueModifierEffect,0x0,2,0x140CD1E80,ValueModifierEffect::OnAdd(MagicTarget_*),
AccumulatingValueModifierEffect,0x0,3,0x140C93DB0,,
AccumulatingValueModifierEffect,0x0,4,0x140C95990,,
AccumulatingValueModifierEffect,0x0,5,0x140CD21F0,ValueModifierEffect::Update(float),
AccumulatingValueModifierEffect,0x0,6,0x140C95C70,"ActiveEffect::EvaluateConditions(float,bool)",
AccumulatingValueModifierEffect,0x0,7,0x140C95E40,"ActiveEffect::EvaluateActiveStatus(float,bool)",
AccumulatingValueModifierEffect,0x0,8,0x140CD1DC0,ValueModifierEffect::IsCausingHealthDamage(void),
AccumulatingValueModifierEffect,0x0,9,0x140CD1E20,ValueModifierEffect::IsCausingRadDamage(void),
AccumulatingValueModifierEffect,0x0,10,0x140C93DD0,,
AccumulatingValueModifierEffect,0x0,11,0x140C94070,AccumulatingValueModifierEffect::SaveGame(BGSSaveFormBuffer_*),
