target_va,name,source_exe,similarity,overlap
0x1407231f0,BGSSpatialGridBase::Func2,Starfield.exe,0.4006,37
0x1427be340,BSReflection::CopyVisitor::Func6,Starfield.exe,0.4908,53
0x14149d9d0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4314,86
0x14130f010,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4037,74
0x1402c60e0,AutoCacheCombatActorHandles::AutoCacheCombatActorHandles,Fallout4_OG_1_10_163.exe,0.7500,3
0x1402d3540,BGSEntryPoint::HandleEntryPoint,Starfield.exe,0.6000,3
0x1402e5240,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x1402ec4b0,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x1402fc4f0,BSRandom::Float,Fallout4 AE.exe,0.8000,8
0x1402fd5e0,BSRandom::UnsignedInt,Fallout4 AE.exe,0.5500,11
0x140308800,BSRandom::Float0To1,Fallout4 AE.exe,0.7143,5
0x14030ba40,FID_conflict:sprintf_s,Starfield.exe,0.4286,6
0x14030bae0,"std::_Rng_from_urng<uint,std::mersenne_twister_engine<uint,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253>>::_Get_bits",Fallout4_OG_1_10_163.exe,0.4048,29
0x140311c00,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",Fallout4_OG_1_10_163.exe,0.4226,15
0x14031f480,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.5018,74
0x140320d50,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x140322ab0,"std::_Tree<std::_Tmap_traits<Json::Value::CZString,Json::Value,std::less<Json::Value::CZString>,std::allocator<std::pair<Json::Value::CZString,Json::Value>>,0>>::erase",Fallout4_OG_1_10_163.exe,0.4891,97
0x140329d00,hkbInternal::hks::gettable_event,Fallout4 AE.exe,0.5745,77
0x14032f0a0,BSstristr,Fallout4_OG_1_10_163.exe,0.5641,33
0x140344960,BSRandom::Float0To1,Fallout4 AE.exe,0.5345,4
0x14034acf0,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",Fallout4_OG_1_10_163.exe,0.4226,15
0x14034ea20,NavMeshObstacleCoverManager::Func17,Starfield.exe,0.4562,13
0x1403501b0,"NiTArray<NiPointer<NiAVObject>,NiTNewInterface<NiPointer<NiAVObject>>>::Compact",Fallout4 AE.exe,0.4014,38
0x140393400,BGSCombinedCellGeometryDB::CDX::Pager::Pager,Fallout4_OG_1_10_163.exe,0.6667,2
0x1403c67f0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4230,74
0x1403c8080,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x1403f8fa0,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_54c6194da212d69d8b3c0e2c81c55e61::_BSVisit::BSVisitControl_NiAVObject_::Func2,Starfield.exe,0.4226,15
0x1404001d0,NiQuaternion::operator*=,Fallout4_OG_1_10_163.exe,0.4118,7
0x140401490,"BSResource::EntryDBTraits<BSModelDB::DBTraits,BSResource::EntryDB<BSModelDB::DBTraits>>::CArgs::CArgs",Fallout4_OG_1_10_163.exe,0.4932,15
0x140403e40,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4430,73
0x1404079d0,BSRandom::Float0To1,Fallout4 AE.exe,0.7143,5
