target_va,name,source
0x1400690a0,BSFaceDB::RequestHeadPartResourcesNode::Func3,byte-sig:exact32
0x1400eb500,GameScript::_anonymous_namespace_::_dynamic_atexit_destructor_for__sMoveToFunctorFactory__,byte-sig:masked48
0x1401e2160,RTTI_stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_75474153b2f4c50a360204506750a389::void_NiAVObject_,byte-sig:masked48
0x1402a3d10,"CombatController::DamagedByAttacker(Actor_*,float)",byte-sig:masked48
0x1402b2060,std::bad_alloc::_dtor_exception,byte-sig:masked48
0x1402b4c40,BSTEventSource_TESPlayerFollowerWarpEvent_::Func1,byte-sig:exact32
0x1402b5010,BGSActorValueActivity::Func3_v2,byte-sig:masked48
0x1402b5950,BGSActorValueActivity_Runtime::Func18_v4,byte-sig:masked48
0x1402b5ce0,BGSActivityRuntimeT_BGSActorValueActivity_::Func2,byte-sig:exact32
0x1402b62d0,BGSActivityRuntimeT_BGSActorValueActivity::2::Func10,byte-sig:masked48
0x1402b66a0,TESFormDetail::Fixed_TESQuest::3::Func1,byte-sig:masked48
0x1402b76a0,RE::Actor::Unk_81,byte-sig:exact32
0x1402b8010,`vector_constructor_iterator',byte-sig:exact32
0x1402b87c0,BGSApplyMagicEffectActivity::Func10_v2,byte-sig:masked48
0x1402b8ba0,CreationRendererPrivate::ShadowMapSubGraphRenderPass::Func9,byte-sig:exact32
0x1402bab20,GameScript::BasicEventHandler::Func2_v44,byte-sig:exact32
0x1402c60e0,AutoCacheCombatActorHandles::AutoCacheCombatActorHandles,bsim:sim=0.7500
0x1402cc680,BGSAIWorldLocationInteriorCell::Func6,byte-sig:exact32
0x1402cd5a0,BGSAIWorldLocationPointRadius::Func27,byte-sig:masked48
0x1402ce6e0,BGSAIWorldLocationPrimitive::Func9,byte-sig:masked48
0x1402cf310,BGSAIWorldLocationPrimitive::Func28,byte-sig:masked48
0x1402d0cf0,BGSAIWorldLocationRefRadius::Func28,byte-sig:masked48
0x1402d13b0,BGSAIWorldLocationEditorSpacePointRadius::Func9,byte-sig:masked48
0x1402d13f0,BGSAIWorldLocationEditorSpacePointRadius::Func8,byte-sig:masked48
0x1402d1430,BGSAIWorldLocationEditorSpacePointRadius::Func18,byte-sig:exact32
0x1402d27e0,Scaleform::GFx::DefaultSocketFactory_Scaleform::GFx::GFxSocketImpl_::Func3,byte-sig:exact32
0x1402d3400,_vsnwprintf,byte-sig:exact32
0x1402d3540,BGSEntryPoint::HandleEntryPoint,bsim:sim=0.6000
0x1402d4160,RE::BGSDefaultObjectManager::Unk_0D,byte-sig:exact32
0x1402dc1e0,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_24::::Func2,byte-sig:exact32
0x1402e5240,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,bsim:sim=0.4226
0x1402ec4b0,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,bsim:sim=0.4226
0x1402fbcc0,BGSProcedureHeadtrackExecState::Func8,byte-sig:masked48
0x1402fc4f0,BSRandom::Float,bsim:sim=0.8000
0x1402fd5e0,BSRandom::UnsignedInt,bsim:sim=0.5500
0x140308800,BSRandom::Float0To1,bsim:sim=0.7143
0x14030a4e0,PathingRequestOpenSpace::Func1,byte-sig:masked48
0x14030a560,BGSProcedureTargetingModeAutopilotExecState::Func7,byte-sig:masked48
0x14030a5b0,BGSProcedureTargetingModeAutopilotExecState::Func8,byte-sig:masked48
0x14030ba40,FID_conflict:sprintf_s,bsim:sim=0.4286
0x14030bae0,"std::_Rng_from_urng<uint,std::mersenne_twister_engine<uint,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253>>::_Get_bits",bsim:sim=0.4048
0x14030e220,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_8::::Func2,byte-sig:exact32
0x140311c00,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",bsim:sim=0.4226
0x1403130b0,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_128::::Func2,byte-sig:exact32
0x140313100,RuntimeComponentDBFactory::RuntimeComponentFactoryRegisterImpl_1_DisplayCaseComponent_BGSDisplayCaseFormComponent_RuntimeComponentDBFactory::RegisterForAttachDetachPolicy_2::DisplayCaseComponentCreationPolicy_0_::Func7,byte-sig:exact32
0x1403179e0,BSBind::Snapshot::Func1,byte-sig:masked48
0x14031a230,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_76326d5a3bf8e0e4f93ea7229158cfb2::void_NiAVObject_::Func1,byte-sig:masked48
0x14031f480,InventoryDataModelNS::InventoryItem::Func3,bsim:sim=0.5018
0x140320d50,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,bsim:sim=0.4226
0x140322ab0,"std::_Tree<std::_Tmap_traits<Json::Value::CZString,Json::Value,std::less<Json::Value::CZString>,std::allocator<std::pair<Json::Value::CZString,Json::Value>>,0>>::erase",bsim:sim=0.4891
0x140326280,CreationRendererPrivate::ReflectionProbeCopyDepth::Func8,byte-sig:exact32
0x140329d00,hkbInternal::hks::gettable_event,bsim:sim=0.5745
0x14032e870,std::collate<char>::do_compare,byte-sig:exact32
0x14032f0a0,BSstristr,bsim:sim=0.5641
0x14033f094,std::basic_stringstream_char_std::char_traits_char::std::allocator_char::::Func1,byte-sig:masked48
0x14033fa30,ClientBIPrebuiltHTTPSPostPrivate::CurlHTTPSPost::Func2,byte-sig:masked48
0x14033fcf0,ClientBIPrebuiltHTTPSPostPrivate::CurlHTTPSPost::Func4,byte-sig:exact32
0x14033fd30,ClientBIPrebuiltHTTPSPostPrivate::CurlHTTPSPost::Func1,byte-sig:masked48
0x140342500,RE::NiAVObject::GetObjectByName,byte-sig:exact32
0x140342540,RE::NiAVObject::Unk61,byte-sig:exact32
0x140343400,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_16::::Func2,byte-sig:exact32
0x140344960,BSRandom::Float0To1,bsim:sim=0.5345
0x14034acf0,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",bsim:sim=0.4226
0x14034ea20,NavMeshObstacleCoverManager::Func17,bsim:sim=0.4562
0x1403501b0,"NiTArray<NiPointer<NiAVObject>,NiTNewInterface<NiPointer<NiAVObject>>>::Compact",bsim:sim=0.4014
0x14035def0,stl::local_function_detail::LocalFunctionImpl::lambda_4924f1e39c125abafd76bb3eb48a6239::BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
0x14036a5e0,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_6a0f58421d9e0b83c45766e21a232747::_BSVisit::BSVisitControl_NiNode_::Func2,byte-sig:exact32
0x14036a800,RE::NiAVObject::SetSelectiveUpdateFlags,byte-sig:exact32
0x14036cbf0,AutoRegisterFormFactoryComponent_BGSSurface::OverlayPlacement::BGSDesignatedInfoComponent_CopyFormComponentMoverPolicy_::Func8,byte-sig:exact32
0x14036cc60,AutoRegisterFormFactoryComponent_TESDescription_DefaultFormComponentMoverPolicy_::Func9,byte-sig:exact32
0x14036d200,AutoRegisterFormFactoryComponent_BGSSpaceshipEquipment_DefaultFormComponentMoverPolicy::_ReserveType::Func1,byte-sig:masked48
0x1403701b0,CDebugSSectionReader::`scalar_deleting_destructor',byte-sig:masked48
0x1403707c0,AutoRegisterFormFactoryComponent_BGSCustomShipForm_DefaultFormComponentMoverPolicy::_ReserveType::Func1,byte-sig:masked48
0x140377ca0,PlayerCharacter::Func2_v19,byte-sig:exact32
0x14037a750,TUIDataShuttleContainerMap_ItemModInfoCardDataModel::ItemModInfoCardData_::Func10,byte-sig:masked48
0x140384bd0,TESForm::DecRefCount,byte-sig:exact32
0x1403880a0,DataMenuPersistentDataModel::DataMenuPersistentDataEventShuttle::Func1,byte-sig:masked48
0x1403887a0,SpaceshipEditor::UpgradeModeState_SystemSelect::Func4_v3,byte-sig:masked48
0x140388a20,SpaceshipEditor::UpgradeModeState_SystemSelect::Func8_v3,byte-sig:exact32
0x14038a2f0,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func9,byte-sig:masked48
0x14038a340,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func8,byte-sig:masked48
0x14038a390,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func7,byte-sig:exact32
0x14038a3d0,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func6,byte-sig:exact32
0x14038a410,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func4,byte-sig:exact32
0x14038a460,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func5,byte-sig:exact32
0x14038a4d0,TUIDataShuttleContainerMap_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func3,byte-sig:exact32
0x14038a690,TUIDataToFlash_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func11,byte-sig:exact32
0x14038a710,TUIDataToFlash_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func6,byte-sig:masked48
0x14038a760,TUIDataToFlash_SpaceshipEditor::ShipRenameDisplayUpdate_DS_::Func4,byte-sig:masked48
0x14038a9a0,TUIDataShuttleContainerArray_NestedUIValue_DocData::::Func6,byte-sig:masked48
0x14038bb60,ArrayNestedUIValue_DocData_0::2::Func4,byte-sig:exact32
0x14038c040,NestedUIValue_InventoryDataModelNS::LootItem::2::Func2,byte-sig:exact32
0x14038e200,BSService::Detail::TCmd::lambda_aeec332b82cb0f34d30df7fc9252751d::void_::Func2,byte-sig:exact32
0x140393400,BGSCombinedCellGeometryDB::CDX::Pager::Pager,bsim:sim=0.6667
0x140394bc0,BSService::Detail::TCmd::lambda_07e365911eee35c5b736e798821d6271::void_::Func2,byte-sig:exact32
0x14039dcf0,GPUReadbackNode_BSTSmartPointer_CreationRenderer::ImageCapture_BSTSmartPointerIntrusiveRefCount::::Func3,byte-sig:exact32
0x14039ec90,DynamicNavMeshTaskCellRemap::Func1,byte-sig:masked48
0x1403a09f0,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_dabae78fc584f28522f91becb6a557a3::BSContainer::ForEachResult_BGSPlanet::ProcGenDB::PlacementDataElementconst_BGSPackIn_TESObjectREFR_TESBoundObject_NiTransform_::Func5,byte-sig:exact32
0x1403a16f0,BSService::Detail::TCmd::lambda_ca4b762b3a71115ff84073aaadfa7668::void_::Func1,byte-sig:exact32
0x1403a2f90,BSService::Detail::TCmd::lambda_52a916d4dbea9cabcefb4c24447d3ec8::void_::Func2,byte-sig:exact32
0x1403a2fe0,BSService::Detail::TCmd::lambda_52a916d4dbea9cabcefb4c24447d3ec8::void_::Func1,byte-sig:masked48
0x1403a4d60,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_800::::Func2,byte-sig:exact32
0x1403a90a0,AutoRegisterFormFactoryComponent_ReflectionProbeCellComponent_DefaultFormComponentMoverPolicy::_ReserveType::Func1,byte-sig:masked48
0x1403b1cb0,StateMachineInstance::Func8,byte-sig:exact32
0x1403c1a30,CombatBehaviorTreeAcquireObject::Func1,byte-sig:exact32
