target_va,name
0x1400690a0,BSFaceDB::RequestHeadPartResourcesNode::Func3
0x1400eb500,GameScript::_anonymous_namespace_::_dynamic_atexit_destructor_for__sMoveToFunctorFactory__
0x1401e2160,RTTI_stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_75474153b2f4c50a360204506750a389::void_NiAVObject_
0x14029f7b0,MemoryManager::GetSingleton
0x14029f7e0,MemoryManager::Allocate
0x1402a0500,MemoryManager::Free
0x1402a0650,BSTHeapSTLAllocatorBase::allocate
0x1402a1670,BSReadWriteLock::lock_write
0x1402a1df0,TESForm::DecExternalRefCount
0x1402a2f30,BSReadWriteLock::unlock_write
0x1402a3d10,CombatController::DamagedByAttacker_Actor___float_
0x1402a4fe0,ScrapHeap::Allocate
0x1402a5160,BSTHeapSTLAllocatorBase::deallocate
0x1402a5370,BSTEventSource::UnregisterSink
0x1402a53a0,BSTEventSource::RegisterSink
0x1402a74a8,TESForm::DecRefCount
0x1402b2060,TESClass::InitLoadGame
0x1402b4c40,BGSProcedurePursue::Func1
0x1402b5010,BGSActorValueActivity::Func3_v2
0x1402b5950,BGSActorValueActivity_Runtime::Func18_v4
0x1402b5ce0,BGSActivityRuntimeT_BGSActorValueActivity_::Func2
0x1402b66a0,TESFormDetail::Fixed_TESQuest::_3::Func1
0x1402b6740,BGSSpatialSparseGridSearch_BGSSpatialGridSearchUtilitiesInternal__GridSearchPolicyWrapper_BGSSpatialGridSearchPolicies__StandardSearchPolicy_BSPathingRequestPolicies__EscortRequest___BGSSpatialGridSearchUtilitiesInternal__GetCombinedSparseGridChunkDataFunctor_::Func1
0x1402b7830,Scaleform__GFx__AS3__ClassTraits__fl_geom__ColorTransform::Func1
0x1402b7870,FunctorCellVisitor__lambda_0f8da06fe7124342d14c7b824bb4ec45__::Func1
0x1402b78a0,BGSSceneActionTimer::Func1
0x1402b7980,MenuActor::Unk_197
0x1402b8010,_vector_constructor_iterator_
0x1402b87c0,BGSApplyMagicEffectActivity::Func10_v2
0x1402b8ba0,CreationRendererPrivate::ShadowMapSubGraphRenderPass::Func9
0x1402ba950,bhkTTNode_TESPointerHandleDetail__PointerHandle_TESHandleManagerTag_TESObjectREFR_2097152__::Func1
0x1402bab20,GameScript::BasicEventHandler::Func2_v44
0x1402c60e0,AutoCacheCombatActorHandles::AutoCacheCombatActorHandles
0x1402c6230,__PAFinder::Func3
0x1402c8c10,BGSSpatialSparseGridSearch_BGSSpatialGridSearchUtilitiesInternal__GridSearchPolicyWrapper_BGSSpatialGridSearchPolicies__StandardSearchPolicy_BSPathingRequestPolicies__EscortRequest___BGSSpatialGridSearchUtilitiesInternal__GetSparseGridChunkDataFunctor_::Func1_v2
0x1402cc680,BGSAIWorldLocationInteriorCell::Func6
0x1402cd5a0,BGSAIWorldLocationPointRadius::Func28
0x1402ce6e0,BGSAIWorldLocationPrimitive::Func9
0x1402cf310,BGSAIWorldLocationPrimitive::Func28
0x1402d06f0,ActorValue::GetSingleton
0x1402d0cf0,BGSAIWorldLocationRefRadius::Func28
0x1402d13b0,BGSAIWorldLocationEditorSpacePointRadius::Func9
0x1402d13f0,BGSAIWorldLocationEditorSpacePointRadius::Func8
